"","part_id","diaryday","work_loc","largegroup","social_cont"
"228",114,"First day","telecommute","No",1
"229",115,"First day","telecommute","No",5
"230",115,"Second day","telecommute","No",3
"231",116,"Second day","telecommute","No",1
"232",116,"First day","telecommute","No",0
"233",117,"First day","telecommute","No",4
"234",117,"Second day","telecommute","No",4
"235",118,"First day","telecommute","Yes",3
"236",118,"Second day","telecommute","No",2
"237",119,"First day","telecommute","No",5
"238",119,"Second day","telecommute","Yes",4
"239",120,"Second day","telecommute","No",2
"240",120,"First day","telecommute","No",2
"241",121,"First day","telecommute","Yes",5
"242",121,"Second day","telecommute","Yes",4
"243",122,"First day","telecommute","No",2
"244",122,"Second day","telecommute","Yes",2
"245",123,"First day","telecommute","Yes",8
"246",123,"Second day","telecommute","Yes",3
"247",124,"First day","telecommute","Yes",3
"248",124,"Second day","both","Yes",2
"249",125,"First day","telecommute","No",1
"250",125,"Second day","telecommute","No",1
"251",126,"First day","telecommute","No",2
"252",126,"Second day","telecommute","No",1
"253",127,"First day","telecommute","Yes",11
"254",127,"Second day","telecommute","Yes",6
"255",128,"Second day","telecommute","No",1
"256",128,"First day","telecommute","No",1
"257",129,"Second day","telecommute","Yes",5
"258",129,"First day","both","No",5
"259",130,"First day","telecommute","No",2
"260",130,"Second day","telecommute","No",3
"261",131,"Second day","telecommute","No",1
"262",131,"First day","telecommute","No",0
"263",132,"First day","telecommute","No",5
"264",132,"Second day","telecommute","No",5
"265",133,"First day","telecommute","No",3
"266",133,"Second day","telecommute","No",3
"267",134,"First day","telecommute","No",5
"268",134,"Second day","telecommute","No",3
"269",135,"First day","telecommute","No",2
"270",135,"Second day","telecommute","Yes",2
"271",136,"Second day","telecommute","Yes",4
"272",136,"First day","telecommute","No",1
"273",137,"First day","telecommute","No",2
"274",137,"Second day","telecommute","No",2
"275",138,"First day","telecommute","No",5
"276",138,"Second day","telecommute","No",5
"277",139,"First day","telecommute","No",1
"278",139,"Second day","telecommute","No",1
"279",140,"First day","telecommute","No",2
"280",140,"Second day","telecommute","No",2
"281",141,"Second day","telecommute","No",1
"282",141,"First day","telecommute","No",0
"283",142,"Second day","telecommute","No",1
"284",142,"First day","telecommute","No",0
"285",143,"Second day","telecommute","No",0
"286",143,"First day","telecommute","No",1
"287",144,"First day","telecommute","No",0
"288",144,"Second day","telecommute","Yes",7
"289",145,"First day","telecommute","Yes",7
"290",145,"Second day","telecommute","Yes",3
"291",146,"First day","telecommute","No",3
"292",146,"Second day","telecommute","No",3
"293",147,"First day","telecommute","No",2
"294",147,"Second day","telecommute","No",3
"295",148,"First day","telecommute","No",0
"296",148,"Second day","telecommute","No",0
"297",149,"Second day","telecommute","Yes",1
"298",149,"First day","telecommute","No",1
"299",150,"First day","telecommute","No",1
"300",150,"Second day","telecommute","No",0
"301",151,"Second day","telecommute","No",3
"302",151,"First day","telecommute","Yes",7
"303",152,"Second day","telecommute","No",0
"304",152,"First day","telecommute","No",0
"305",153,"First day","telecommute","No",1
"306",153,"Second day","telecommute","No",1
"307",154,"Second day","telecommute","No",1
"308",154,"First day","telecommute","No",1
"309",155,"Second day","telecommute","No",1
"310",155,"First day","telecommute","No",1
"311",156,"Second day","telecommute","No",3
"312",156,"First day","telecommute","No",3
"313",157,"First day","telecommute","No",3
"314",157,"Second day","telecommute","No",3
"315",158,"First day","telecommute","No",4
"316",158,"Second day","telecommute","No",2
"317",159,"First day","telecommute","No",3
"318",159,"Second day","telecommute","No",3
"319",160,"Second day","telecommute","Yes",3
"320",160,"First day","telecommute","No",3
"321",161,"First day","telecommute","No",1
"322",161,"Second day","telecommute","No",1
"323",162,"Second day","telecommute","Yes",2
"324",162,"First day","telecommute","No",1
"325",163,"First day","telecommute","No",0
"326",163,"Second day","telecommute","No",0
"327",164,"Second day","telecommute","Yes",6
"328",164,"First day","telecommute","No",6
"329",165,"First day","telecommute","No",1
"330",165,"Second day","telecommute","Yes",3
"331",166,"Second day","telecommute","No",12
"332",166,"First day","telecommute","Yes",8
"333",167,"Second day","telecommute","Yes",5
"334",167,"First day","telecommute","Yes",5
"335",168,"First day","telecommute","No",2
"336",168,"Second day","telecommute","No",3
"337",169,"First day","telecommute","No",3
"338",169,"Second day","telecommute","No",2
"339",170,"First day","telecommute","Yes",3
"340",170,"Second day","telecommute","No",1
"341",171,"Second day","telecommute","No",3
"342",171,"First day","telecommute","Yes",3
"343",172,"First day","telecommute","Yes",2
"344",172,"Second day","telecommute","No",0
"345",173,"First day","telecommute","Yes",3
"346",173,"Second day","telecommute","Yes",1
"347",174,"First day","telecommute","No",6
"348",174,"Second day","telecommute","No",4
"349",175,"First day","telecommute","Yes",3
"350",175,"Second day","telecommute","No",0
"351",176,"First day","telecommute","Yes",4
"352",176,"Second day","telecommute","No",3
"353",177,"First day","telecommute","No",4
"354",177,"Second day","telecommute","No",4
"355",178,"Second day",NA,"No",0
"356",178,"First day","telecommute","No",1
"357",179,"First day","telecommute","No",1
"358",179,"Second day","telecommute","No",1
"359",180,"First day","telecommute","No",1
"360",180,"Second day","telecommute","No",2
"361",181,"Second day","telecommute","No",0
"362",181,"First day","telecommute","No",1
"363",182,"Second day","telecommute","No",4
"364",182,"First day","telecommute","No",2
"365",183,"First day","telecommute","No",1
"366",183,"Second day","telecommute","No",1
"367",184,"Second day","telecommute","No",0
"368",184,"First day","telecommute","No",0
"369",185,"Second day","telecommute","No",8
"370",185,"First day","telecommute","Yes",21
"371",186,"Second day","telecommute","Yes",5
"372",186,"First day","telecommute","No",1
"373",187,"Second day","telecommute","No",0
"374",187,"First day","telecommute","No",4
"375",188,"First day","telecommute","Yes",0
"376",188,"Second day","telecommute","Yes",5
"377",189,"Second day","telecommute","No",4
"378",189,"First day","telecommute","No",2
"379",190,"Second day","telecommute","No",0
"380",190,"First day","telecommute","No",1
"381",191,"Second day","telecommute","No",1
"382",191,"First day","telecommute","Yes",0
"383",192,"Second day","telecommute","No",1
"384",192,"First day","telecommute","No",2
"385",193,"Second day","telecommute","Yes",3
"386",193,"First day","telecommute","Yes",2
"387",194,"First day","telecommute","Yes",3
"388",194,"Second day","telecommute","No",0
"389",195,"Second day","telecommute","No",8
"390",195,"First day","telecommute","No",9
"391",196,"First day","telecommute","No",8
"392",196,"Second day","telecommute","Yes",4
"393",197,"Second day","telecommute","No",5
"394",197,"First day","telecommute","No",5
"395",198,"Second day","telecommute","No",3
"396",198,"First day","telecommute","No",2
"397",199,"Second day","telecommute","No",3
"398",199,"First day","telecommute","Yes",2
"399",200,"First day","telecommute","No",2
"400",200,"Second day","telecommute","No",2
"401",201,"First day","telecommute","Yes",4
"402",201,"Second day","telecommute","No",4
"403",202,"Second day","telecommute","Yes",3
"404",202,"First day","telecommute","Yes",2
"405",203,"Second day","telecommute","Yes",2
"406",203,"First day","telecommute","No",1
"407",204,"Second day","telecommute","Yes",2
"408",204,"First day","telecommute","Yes",2
"409",205,"Second day","telecommute","No",2
"410",205,"First day","telecommute","No",2
"411",206,"Second day","telecommute","Yes",18
"412",206,"First day","telecommute","Yes",15
"413",207,"Second day","telecommute","Yes",6
"414",207,"First day","telecommute","No",8
"415",208,"First day","telecommute","No",5
"416",208,"Second day","telecommute","No",3
"417",209,"Second day","telecommute","No",0
"418",209,"First day","telecommute","No",4
"419",210,"Second day","telecommute","Yes",7
"420",210,"First day","telecommute","Yes",2
"421",211,"First day","telecommute","No",1
"422",211,"Second day","telecommute","No",1
"423",212,"First day","telecommute","Yes",2
"424",212,"Second day","telecommute","Yes",1
"425",213,"First day","office","Yes",1
"426",213,"Second day","telecommute","Yes",1
"427",214,"Second day","telecommute","No",0
"428",214,"First day","telecommute","No",3
"429",215,"Second day","telecommute","No",0
"430",215,"First day","telecommute","No",0
"431",216,"Second day","telecommute","No",0
"432",216,"First day","telecommute","No",0
"433",217,"First day","telecommute","No",0
"434",217,"Second day","telecommute","No",1
"435",218,"First day","telecommute","Yes",1
"436",218,"Second day","telecommute","No",0
"437",219,"First day","telecommute","Yes",9
"438",219,"Second day","telecommute","Yes",10
"439",220,"Second day","telecommute","No",8
"440",220,"First day","telecommute","No",12
"441",221,"Second day","telecommute","No",0
"442",221,"First day","telecommute","Yes",3
"443",222,"First day","telecommute","Yes",3
"444",222,"Second day","telecommute","No",5
"445",223,"Second day","telecommute","Yes",2
"446",223,"First day","telecommute","No",0
"447",224,"First day","telecommute","No",2
"448",224,"Second day","telecommute","Yes",6
"449",225,"First day","telecommute","No",0
"450",225,"Second day","telecommute","No",2
"451",226,"First day","telecommute","Yes",0
"452",226,"Second day","telecommute","Yes",0
"453",227,"First day","telecommute","No",1
"454",227,"Second day","telecommute","No",5
"455",228,"Second day","telecommute","No",5
"456",228,"First day","telecommute","No",4
"457",229,"Second day","telecommute","Yes",7
"458",229,"First day","telecommute","No",4
"459",230,"Second day","telecommute","No",5
"460",230,"First day","telecommute","No",5
"461",231,"First day","telecommute","No",0
"462",231,"Second day","telecommute","No",0
"463",232,"First day","telecommute","No",3
"464",232,"Second day","telecommute","Yes",5
"465",233,"First day","telecommute","Yes",3
"466",233,"Second day","telecommute","Yes",3
"467",234,"Second day","telecommute","No",5
"468",234,"First day","telecommute","Yes",8
"469",235,"First day","telecommute","No",5
"470",235,"Second day","telecommute","No",2
"471",236,"First day",NA,"Yes",14
"472",236,"Second day","telecommute","No",5
"473",237,"Second day","telecommute","No",0
"474",237,"First day","telecommute","No",0
"475",238,"First day","telecommute","No",2
"476",238,"Second day","telecommute","Yes",2
"477",239,"First day","telecommute","No",4
"478",239,"Second day","telecommute","No",11
"479",240,"Second day","telecommute","Yes",4
"480",240,"First day","telecommute","Yes",4
"481",241,"First day","telecommute","No",3
"482",241,"Second day","telecommute","No",3
"483",242,"First day","telecommute","No",1
"484",242,"Second day","telecommute","No",1
"485",243,"First day","telecommute","No",4
"486",243,"Second day","telecommute","No",1
"487",244,"First day","telecommute","No",0
"488",244,"Second day","telecommute","No",0
